Date,ABI.BR,AI.PA,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BAYN.DE,BBVA.MC,BMW.DE,BN.PA,BNP.PA,CA.PA,CS.PA,DBK.DE,DG.PA,DTE.DE,ENEL.MI,ENGI.PA,ENI.MI,EOAN.DE,FRE.DE,G.MI,GLE.PA,IBE.MC,INGA.AS,ISP.MI,^STOXX50E
2015-01-02,74.48788452148438,54.41896438598633,36.54369354248047,83.99263763427734,80.60176086425781,41.789546966552734,82.35911560058594,4.686587333679199,52.2332878112793,39.66619873046875,26.909236907958984,18.577632904052734,11.170161247253418,19.46599578857422,32.95282745361328,9.475223541259766,2.1269803047180176,10.80838394165039,7.701299667358398,7.975079536437988,36.401451110839844,9.456303596496582,21.951780319213867,3.674306631088257,5.826447010040283,1.2769726514816284,
2015-01-05,72.82366943359375,52.733802795410156,36.65370178222656,81.9343032836914,79.11870574951172,40.00259017944336,79.58950805664062,4.481845855712891,50.49435043334961,38.649879455566406,25.602699279785156,17.677457809448242,10.754935264587402,18.672094345092773,31.832021713256836,9.18417739868164,1.9894204139709473,10.349407196044922,7.057326316833496,7.5628204345703125,36.29448318481445,9.11778450012207,20.970903396606445,3.607990026473999,5.557948112487793,1.2009994983673096,3023.139892578125
2015-01-06,72.1000747680664,52.293724060058594,37.50294494628906,82.02645874023438,76.56853485107422,39.990596771240234,80.50055694580078,4.409061908721924,50.93947219848633,38.532039642333984,24.93309783935547,17.53668975830078,10.637969970703125,18.43315315246582,31.483821868896484,9.076380729675293,2.0183193683624268,10.245856285095215,7.152338027954102,7.542917251586914,36.662471771240234,9.156631469726562,20.598419189453125,3.5935449600219727,5.557948112487793,1.1843481063842773,
2015-01-07,73.85272979736328,52.52986145019531,38.47978210449219,82.79450988769531,76.82172393798828,40.25444412231445,80.50055694580078,4.422080039978027,51.21248245239258,38.98128890991211,24.516637802124023,17.518173217773438,10.752012252807617,18.533353805541992,32.64451599121094,9.335089683532715,2.0148513317108154,10.150702476501465,7.189286708831787,7.545760154724121,36.41001510620117,9.178829193115234,20.378028869628906,3.5889487266540527,5.598222732543945,1.169777750968933,3026.7900390625
2015-01-08,77.51081085205078,54.740966796875,39.79104232788086,84.9757308959961,79.75172424316406,41.89748001098633,84.87361145019531,4.4717864990234375,53.052303314208984,40.10808181762695,25.31145477294922,18.314617156982422,11.196478843688965,18.87249755859375,33.78707504272461,9.795019149780273,2.106173038482666,10.517326354980469,7.469048976898193,7.699291706085205,37.49259948730469,9.478500366210938,20.970903396606445,3.6598615646362305,5.786172866821289,1.2343027591705322,3135.080078125
2015-01-09,76.03150177001953,53.511985778808594,39.205814361572266,83.47037506103516,77.6265640258789,40.84809494018555,82.46842956542969,4.33095121383667,52.322303771972656,39.19485855102539,24.462200164794922,17.688573837280273,10.945003509521484,18.42930030822754,33.77981185913086,9.536309242248535,1.9998241662979126,10.198278427124023,7.189286708831787,7.417819023132324,37.27437210083008,9.278718948364258,20.734994888305664,3.6171836853027344,5.582112789154053,1.1843481063842773,3042.89990234375
2015-01-12,77.35002136230469,54.44579315185547,39.55783462524414,83.93119812011719,79.48042297363281,41.2618522644043,84.03543853759766,4.3652729988098145,52.61311721801758,39.92396545410156,24.65818214416504,18.11087417602539,10.959622383117676,18.42930030822754,34.556026458740234,9.777050971984863,1.991731882095337,10.231865882873535,7.2262372970581055,7.429191589355469,38.506717681884766,9.406357765197754,20.76293182373047,3.6171836853027344,5.598222732543945,1.2103662490844727,3084.179931640625
2015-01-13,78.33890533447266,54.982479095458984,40.09905242919922,85.62089538574219,80.51132202148438,42.59307098388672,86.29485321044922,4.42740535736084,53.78824234008789,40.115447998046875,25.22979164123535,18.80730628967285,11.208174705505371,19.01508903503418,35.01667785644531,9.956710815429688,2.0483741760253906,10.42776870727539,7.3423638343811035,7.269974231719971,39.272666931152344,9.489599227905273,21.023670196533203,3.6381938457489014,5.75126838684082,1.2467916011810303,3133.860107421875
2015-01-14,77.23745727539062,54.25796127319336,39.725040435791016,84.72994995117188,79.03730773925781,42.16732406616211,85.16515350341797,4.3771071434021,52.69027328491211,39.48208236694336,24.462200164794922,19.22960662841797,10.99471378326416,18.64511489868164,34.432708740234375,9.877660751342773,2.0090720653533936,10.080737113952637,7.125945568084717,7.156247615814209,39.50373458862305,9.378609657287598,20.787763595581055,3.5981411933898926,5.6492390632629395,1.2447099685668945,3089.669921875
2015-01-15,79.59310913085938,55.43865966796875,40.719486236572266,86.41963958740234,79.51659393310547,43.14475631713867,87.8254165649414,4.4309563636779785,54.049373626708984,40.3216552734375,25.088253021240234,19.518550872802734,11.39824390411377,19.076751708984375,34.96589279174805,9.999829292297363,2.0911448001861572,10.220669746398926,7.389871597290039,7.326838493347168,40.39375305175781,9.478500366210938,21.09817123413086,3.6276888847351074,5.753953456878662,1.2811356782913208,3157.360107421875
2015-01-16,81.00003051757812,55.89482116699219,40.829490661621094,87.55632781982422,80.22195434570312,43.57649230957031,90.15770721435547,4.456991195678711,55.54497146606445,40.96238327026367,25.036535263061523,20.28536605834961,11.640946388244629,19.042068481445312,34.67209243774414,10.096845626831055,2.147787570953369,10.324220657348633,7.6379570960998535,7.4547810554504395,41.347984313964844,9.64498519897461,21.175769805908203,3.671680212020874,5.888202667236328,1.2998687028884888,3202.239990234375
